OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,Fireplaces,GarageArea,SalePrice,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Utilities_NoSeWa
7.0,1995.0,1996.0,384.0,1474.0,2.0,1.0,400.0,168500.0,False,False,True,False,False
8.0,1991.0,1992.0,1288.0,2417.0,2.0,1.0,462.0,260000.0,False,False,True,False,False
6.0,2005.0,2005.0,684.0,1560.0,2.0,1.0,400.0,174000.0,False,False,True,False,False
6.0,2009.0,2009.0,612.0,1224.0,2.0,0.0,528.0,164500.0,True,False,False,False,False
3.0,1915.0,1982.0,1013.0,1526.0,1.0,0.0,0.0,85000.0,False,False,False,False,False
4.0,1994.0,1995.0,990.0,990.0,1.0,0.0,0.0,123600.0,False,False,True,False,False
4.0,1950.0,1950.0,0.0,1040.0,1.0,0.0,420.0,109900.0,False,False,True,False,False
5.0,1961.0,1961.0,1235.0,1235.0,1.0,0.0,480.0,98600.0,False,False,True,False,False
5.0,1921.0,2006.0,876.0,964.0,1.0,0.0,432.0,163500.0,False,False,True,False,False
6.0,1910.0,1998.0,1214.0,2291.0,2.0,1.0,506.0,133900.0,False,False,False,False,False
6.0,1997.0,1997.0,824.0,1786.0,2.0,0.0,684.0,204750.0,False,False,True,False,False
6.0,1993.0,1993.0,680.0,1470.0,2.0,1.0,420.0,185000.0,False,False,True,False,False
7.0,1999.0,1999.0,1588.0,1588.0,2.0,0.0,472.0,214000.0,False,False,True,False,False
4.0,1965.0,1965.0,960.0,960.0,1.0,0.0,432.0,94750.0,False,False,True,False,False
5.0,1920.0,1950.0,458.0,835.0,1.0,0.0,366.0,83000.0,False,False,True,False,False
4.0,1959.0,1959.0,950.0,1225.0,1.0,0.0,0.0,128950.0,False,False,True,False,False
6.0,1977.0,2001.0,1610.0,1610.0,2.0,2.0,480.0,205000.0,False,False,True,False,False
6.0,1985.0,1985.0,741.0,1732.0,2.0,1.0,476.0,178000.0,False,False,True,False,False
5.0,1979.0,1979.0,0.0,1535.0,2.0,0.0,410.0,118964.0,False,False,True,False,False
7.0,2009.0,2009.0,1226.0,1226.0,2.0,0.0,740.0,198900.0,False,False,True,False,False
7.0,1931.0,1950.0,1040.0,1818.0,1.0,2.0,240.0,169500.0,False,False,False,True,False
8.0,2003.0,2004.0,1053.0,1992.0,2.0,1.0,648.0,250000.0,True,False,False,False,False
4.0,1885.0,1995.0,641.0,1047.0,1.0,0.0,273.0,100000.0,False,False,False,True,False
5.0,1948.0,1950.0,789.0,789.0,1.0,0.0,250.0,115000.0,False,False,False,True,False
5.0,1919.0,2005.0,793.0,1517.0,2.0,0.0,0.0,115000.0,False,False,False,True,False
6.0,1977.0,1977.0,1844.0,1844.0,2.0,1.0,546.0,190000.0,False,False,True,False,False
6.0,1954.0,1972.0,994.0,1855.0,2.0,0.0,325.0,136900.0,False,False,True,False,False
7.0,2000.0,2000.0,384.0,1430.0,2.0,1.0,400.0,180000.0,False,False,True,False,False
7.0,2007.0,2007.0,1264.0,2696.0,2.0,1.0,792.0,383970.0,False,False,True,False,False
6.0,1953.0,1953.0,1809.0,2259.0,2.0,2.0,450.0,217000.0,False,False,True,False,False
6.0,1945.0,2002.0,1028.0,2320.0,2.0,1.0,180.0,259500.0,False,False,True,False,False
6.0,1999.0,1999.0,729.0,1458.0,2.0,1.0,440.0,176000.0,True,False,False,False,False
5.0,1962.0,1962.0,1092.0,1092.0,1.0,1.0,288.0,139000.0,False,False,True,False,False
5.0,2006.0,2007.0,1125.0,1125.0,1.0,0.0,430.0,155000.0,False,False,True,False,False
7.0,1990.0,1990.0,1673.0,3222.0,3.0,2.0,594.0,320000.0,False,False,True,False,False
6.0,2005.0,2006.0,728.0,1456.0,2.0,1.0,390.0,163990.0,False,False,True,False,False
6.0,1969.0,1969.0,938.0,988.0,1.0,2.0,540.0,180000.0,False,False,True,False,False
4.0,1939.0,1950.0,732.0,1123.0,1.0,0.0,264.0,100000.0,False,False,False,True,False
6.0,1958.0,1958.0,1080.0,1080.0,1.0,0.0,288.0,136000.0,False,False,True,False,False
6.0,1993.0,1993.0,1199.0,1199.0,2.0,0.0,530.0,153900.0,False,False,True,False,False
6.0,1979.0,1998.0,1362.0,1586.0,2.0,1.0,435.0,181000.0,False,False,True,False,False
6.0,1935.0,1982.0,520.0,754.0,1.0,0.0,0.0,84500.0,False,False,False,True,False
6.0,1976.0,1976.0,1078.0,958.0,2.0,1.0,440.0,128000.0,False,False,True,False,False
5.0,1930.0,1950.0,672.0,840.0,1.0,1.0,0.0,87000.0,False,False,False,True,False
6.0,1966.0,1966.0,660.0,1348.0,1.0,1.0,453.0,155000.0,False,False,True,False,False
5.0,1958.0,1991.0,1008.0,1053.0,1.0,0.0,750.0,150000.0,False,False,True,False,False
7.0,1966.0,1966.0,924.0,2157.0,2.0,2.0,487.0,226000.0,False,False,True,False,False
6.0,2000.0,2000.0,992.0,2054.0,2.0,1.0,390.0,244000.0,False,False,True,False,False
5.0,1959.0,2002.0,1063.0,1327.0,1.0,0.0,624.0,150750.0,False,False,True,False,False
8.0,2001.0,2002.0,1267.0,1296.0,2.0,0.0,471.0,220000.0,False,False,True,False,False
5.0,1968.0,1993.0,1461.0,1721.0,2.0,1.0,440.0,180000.0,False,False,True,False,False
7.0,1970.0,1970.0,1304.0,1682.0,2.0,1.0,530.0,174000.0,False,False,True,False,False
5.0,1967.0,1967.0,1214.0,1214.0,2.0,1.0,318.0,143000.0,False,False,True,False,False
7.0,1988.0,1989.0,1907.0,1959.0,3.0,0.0,766.0,171000.0,False,False,True,False,False
8.0,1999.0,2000.0,1004.0,1852.0,2.0,2.0,660.0,230000.0,False,False,True,False,False
6.0,1997.0,1997.0,928.0,1764.0,2.0,0.0,470.0,231500.0,False,False,True,False,False
4.0,1971.0,1971.0,864.0,864.0,1.0,1.0,0.0,115000.0,False,False,True,False,False
7.0,2005.0,2005.0,1734.0,1734.0,2.0,0.0,660.0,260000.0,False,False,True,False,False
5.0,1952.0,1952.0,910.0,1385.0,2.0,0.0,720.0,166000.0,False,False,True,False,False
7.0,1999.0,1999.0,1490.0,1501.0,2.0,0.0,577.0,204000.0,False,False,True,False,False
5.0,1963.0,1963.0,1728.0,1728.0,2.0,0.0,504.0,125000.0,False,False,False,True,False
6.0,2004.0,2006.0,970.0,1709.0,2.0,0.0,380.0,130000.0,False,False,False,True,False
5.0,1931.0,1993.0,715.0,875.0,1.0,0.0,180.0,105000.0,False,False,False,True,False
7.0,2001.0,2001.0,884.0,2035.0,2.0,1.0,434.0,222500.0,False,False,True,False,False
7.0,2004.0,2005.0,1080.0,1080.0,1.0,0.0,0.0,141000.0,False,False,True,False,False
5.0,1936.0,1950.0,896.0,1344.0,1.0,0.0,240.0,115000.0,False,False,False,True,False
5.0,1975.0,1975.0,969.0,969.0,1.0,0.0,440.0,122000.0,False,False,True,False,False
8.0,2007.0,2008.0,1710.0,1710.0,2.0,1.0,866.0,372402.0,False,False,True,False,False
6.0,1971.0,1971.0,825.0,1993.0,2.0,1.0,495.0,190000.0,False,False,True,False,False
6.0,1960.0,1975.0,1602.0,1252.0,1.0,1.0,564.0,235000.0,False,False,True,False,False
6.0,1923.0,1950.0,1200.0,1200.0,1.0,0.0,312.0,125000.0,False,False,False,True,False
6.0,1924.0,1950.0,572.0,1096.0,1.0,0.0,0.0,79000.0,False,False,True,False,False
5.0,1950.0,1950.0,0.0,1040.0,1.0,0.0,625.0,109500.0,False,False,True,False,False
8.0,2009.0,2010.0,774.0,1968.0,2.0,1.0,680.0,269500.0,False,False,True,False,False
7.0,2004.0,2005.0,991.0,1947.0,2.0,1.0,678.0,254900.0,True,False,False,False,False
7.0,2005.0,2006.0,1392.0,2462.0,2.0,1.0,576.0,320000.0,False,False,True,False,False
6.0,1984.0,1984.0,1232.0,1232.0,2.0,0.0,516.0,162500.0,False,False,True,False,False
9.0,2003.0,2004.0,1572.0,2668.0,2.0,2.0,726.0,412500.0,False,False,True,False,False
7.0,2005.0,2005.0,1541.0,1541.0,2.0,1.0,532.0,220000.0,False,False,True,False,False
4.0,1956.0,1956.0,882.0,882.0,1.0,0.0,0.0,103200.0,False,False,True,False,False
6.0,1926.0,2004.0,1149.0,1616.0,2.0,0.0,216.0,152000.0,False,False,False,True,False
5.0,1940.0,1999.0,644.0,1355.0,2.0,0.0,0.0,127500.0,False,False,True,False,False
5.0,1955.0,1993.0,1617.0,1867.0,1.0,3.0,303.0,190000.0,False,False,True,False,False
8.0,2007.0,2007.0,1582.0,2161.0,1.0,1.0,789.0,325624.0,False,False,True,False,False
7.0,2004.0,2004.0,840.0,1720.0,2.0,1.0,440.0,183500.0,False,False,True,False,False
8.0,1981.0,1981.0,1686.0,1707.0,2.0,1.0,511.0,228000.0,False,False,True,False,False
5.0,1941.0,1950.0,720.0,1382.0,1.0,0.0,660.0,128500.0,False,False,False,True,False
6.0,1960.0,1960.0,1080.0,1656.0,1.0,2.0,528.0,215000.0,False,False,True,False,False
7.0,1987.0,1987.0,1064.0,1767.0,2.0,1.0,504.0,239000.0,False,False,True,False,False
6.0,1961.0,1961.0,1362.0,1362.0,1.0,1.0,504.0,163000.0,False,False,True,False,False
6.0,1986.0,1986.0,1606.0,1651.0,2.0,1.0,616.0,184000.0,False,False,True,False,False
6.0,1950.0,2001.0,1202.0,2158.0,2.0,1.0,576.0,243000.0,False,False,True,False,False
6.0,1988.0,1989.0,1151.0,2060.0,2.0,1.0,521.0,211000.0,False,False,True,False,False
5.0,1958.0,1958.0,1052.0,1920.0,2.0,1.0,451.0,172500.0,False,False,True,False,False
9.0,2008.0,2009.0,2216.0,2234.0,2.0,1.0,1166.0,501837.0,False,False,True,False,False
5.0,1923.0,2006.0,968.0,968.0,1.0,0.0,480.0,100000.0,False,False,False,True,False
6.0,2000.0,2000.0,756.0,1525.0,2.0,1.0,440.0,177000.0,True,False,False,False,False
7.0,1920.0,1950.0,793.0,1802.0,1.0,1.0,216.0,200100.0,False,False,True,False,False
5.0,1957.0,2006.0,0.0,1340.0,1.0,1.0,252.0,120000.0,False,False,True,False,False
7.0,2003.0,2003.0,1362.0,2082.0,2.0,0.0,484.0,200000.0,False,False,False,True,False
5.0,1908.0,1991.0,504.0,1252.0,1.0,0.0,576.0,127000.0,False,False,True,False,False
10.0,1892.0,1993.0,1107.0,3608.0,2.0,2.0,840.0,475000.0,False,False,False,True,False
7.0,1990.0,1991.0,1188.0,1217.0,2.0,0.0,497.0,173000.0,False,False,True,False,False
5.0,1916.0,1987.0,660.0,1656.0,2.0,0.0,180.0,135000.0,False,False,True,False,False
5.0,1979.0,1979.0,1086.0,1224.0,0.0,2.0,528.0,153337.0,False,False,True,False,False
8.0,2001.0,2002.0,1593.0,1593.0,1.0,1.0,682.0,286000.0,False,False,True,False,False
8.0,1932.0,1994.0,853.0,2727.0,2.0,2.0,440.0,315000.0,False,False,True,False,False
7.0,1972.0,2004.0,725.0,1479.0,1.0,0.0,484.0,184000.0,False,False,True,False,False
7.0,1999.0,1999.0,1431.0,1431.0,2.0,0.0,666.0,192000.0,False,False,True,False,False
7.0,2004.0,2004.0,970.0,1709.0,2.0,0.0,380.0,130000.0,False,False,False,True,False
5.0,1972.0,1972.0,864.0,864.0,1.0,0.0,352.0,127000.0,False,False,True,False,False
6.0,1976.0,1976.0,855.0,1456.0,2.0,1.0,440.0,148500.0,False,False,True,False,False
7.0,2007.0,2007.0,1726.0,1726.0,2.0,1.0,786.0,311872.0,False,False,True,False,False
8.0,1918.0,1990.0,1360.0,3112.0,2.0,1.0,795.0,235000.0,False,False,True,False,False
6.0,1912.0,1950.0,755.0,2229.0,1.0,0.0,0.0,104000.0,False,False,False,True,False
8.0,2004.0,2005.0,1713.0,1713.0,2.0,1.0,856.0,274900.0,False,False,True,False,False
4.0,2003.0,2004.0,1121.0,1121.0,2.0,0.0,440.0,140000.0,False,False,False,True,False
6.0,1977.0,1977.0,1196.0,1279.0,2.0,2.0,473.0,171500.0,False,False,True,False,False
6.0,1924.0,1950.0,617.0,1310.0,2.0,0.0,398.0,112000.0,False,False,True,False,False
6.0,2004.0,2004.0,848.0,848.0,1.0,1.0,420.0,149000.0,False,False,False,True,False
5.0,1947.0,1950.0,720.0,1284.0,1.0,0.0,240.0,110000.0,False,False,False,True,False
7.0,1990.0,1990.0,1424.0,1442.0,2.0,0.0,500.0,180500.0,False,False,True,False,False
5.0,1962.0,1962.0,1140.0,1696.0,1.0,1.0,349.0,143900.0,False,False,True,False,False
4.0,1960.0,1960.0,1100.0,1100.0,1.0,1.0,312.0,141000.0,False,False,True,False,False
7.0,1988.0,1989.0,1157.0,2062.0,2.0,1.0,454.0,277000.0,False,False,True,False,False
6.0,1964.0,1964.0,1092.0,1092.0,1.0,0.0,504.0,145000.0,False,False,True,False,False
5.0,1925.0,1950.0,864.0,864.0,1.0,0.0,0.0,98000.0,False,False,True,False,False
6.0,2009.0,2009.0,1212.0,1212.0,2.0,0.0,460.0,186000.0,False,False,True,False,False
7.0,2009.0,2009.0,900.0,1852.0,2.0,1.0,644.0,252678.0,True,False,False,False,False
5.0,1995.0,1995.0,990.0,990.0,1.0,0.0,576.0,156000.0,False,False,True,False,False
6.0,1977.0,1977.0,689.0,1392.0,1.0,0.0,299.0,161750.0,False,False,True,False,False
5.0,1957.0,1996.0,1070.0,1236.0,1.0,1.0,447.0,134450.0,False,False,True,False,False
7.0,2004.0,2004.0,1436.0,1436.0,2.0,0.0,484.0,210000.0,False,False,True,False,False
4.0,1925.0,1950.0,686.0,1328.0,1.0,0.0,210.0,107000.0,False,False,False,True,False
7.0,1939.0,2006.0,798.0,1954.0,1.0,2.0,431.0,311500.0,False,False,True,False,False
7.0,2005.0,2006.0,1248.0,1248.0,2.0,0.0,438.0,167240.0,False,False,True,False,False
7.0,2006.0,2006.0,1498.0,1498.0,2.0,0.0,675.0,204900.0,False,False,True,False,False
6.0,2002.0,2002.0,1010.0,2267.0,2.0,1.0,390.0,200000.0,False,False,True,False,False
6.0,1975.0,1975.0,713.0,1552.0,2.0,1.0,434.0,179900.0,False,False,True,False,False
4.0,1971.0,1971.0,864.0,864.0,1.0,0.0,576.0,97000.0,False,False,True,False,False
10.0,2003.0,2003.0,2392.0,2392.0,2.0,1.0,968.0,386250.0,False,False,True,False,False
5.0,1971.0,1971.0,630.0,1302.0,2.0,0.0,280.0,112000.0,False,False,False,True,False
7.0,1995.0,1995.0,1203.0,2520.0,2.0,1.0,721.0,290000.0,False,False,True,False,False
6.0,1970.0,1970.0,483.0,987.0,1.0,0.0,280.0,106000.0,False,False,False,True,False
5.0,1967.0,1967.0,912.0,912.0,1.0,1.0,336.0,125000.0,False,False,True,False,False
7.0,2005.0,2006.0,1373.0,1555.0,2.0,1.0,430.0,192500.0,False,False,True,False,False
6.0,1959.0,1959.0,1194.0,1194.0,1.0,0.0,312.0,148000.0,False,False,True,False,False
8.0,1995.0,1996.0,1462.0,2794.0,2.0,1.0,810.0,403000.0,False,False,True,False,False
6.0,1972.0,1972.0,483.0,987.0,1.0,1.0,288.0,94500.0,False,False,False,True,False
5.0,1976.0,1976.0,894.0,894.0,1.0,0.0,308.0,128200.0,False,False,True,False,False
6.0,2002.0,2002.0,860.0,1960.0,2.0,2.0,440.0,216500.0,False,False,True,False,False
6.0,1971.0,1971.0,483.0,987.0,1.0,0.0,264.0,89500.0,False,False,False,True,False
7.0,2004.0,2004.0,1414.0,1414.0,2.0,0.0,494.0,185500.0,False,False,True,False,False
7.0,1993.0,2003.0,996.0,1744.0,2.0,0.0,457.0,194500.0,False,False,True,False,False
8.0,2007.0,2007.0,1694.0,1694.0,2.0,0.0,818.0,318000.0,False,False,True,False,False
6.0,1945.0,1950.0,735.0,1487.0,1.0,1.0,220.0,113000.0,False,False,True,False,False
8.0,2008.0,2008.0,1566.0,1566.0,2.0,0.0,750.0,262500.0,True,False,False,False,False
5.0,1945.0,1997.0,686.0,866.0,1.0,0.0,0.0,110500.0,False,False,False,True,False
5.0,1900.0,1950.0,540.0,1440.0,1.0,0.0,352.0,79000.0,False,False,False,True,False
6.0,1980.0,1980.0,626.0,1217.0,1.0,1.0,288.0,120000.0,False,False,True,False,False
7.0,1994.0,2002.0,948.0,2110.0,2.0,2.0,463.0,205000.0,False,False,True,False,False
7.0,1988.0,1988.0,1845.0,1872.0,2.0,1.0,604.0,241500.0,False,False,True,False,False
6.0,1910.0,1950.0,1020.0,1928.0,2.0,0.0,440.0,137000.0,False,False,False,True,False
6.0,1954.0,1954.0,1367.0,1375.0,1.0,1.0,451.0,140000.0,False,False,True,False,False
7.0,2003.0,2003.0,840.0,1668.0,2.0,0.0,500.0,180000.0,False,False,True,False,False
6.0,1958.0,2006.0,1444.0,2144.0,2.0,2.0,389.0,277000.0,False,False,True,False,False
3.0,1940.0,1966.0,728.0,1306.0,1.0,0.0,0.0,76500.0,False,False,True,False,False
8.0,2006.0,2007.0,1573.0,1625.0,2.0,1.0,538.0,235000.0,False,False,False,True,False
6.0,2004.0,2004.0,798.0,1640.0,2.0,0.0,520.0,173000.0,False,False,True,False,False
6.0,1964.0,1991.0,1302.0,1302.0,2.0,0.0,309.0,158000.0,False,False,True,False,False
5.0,1957.0,1957.0,1314.0,1314.0,1.0,0.0,294.0,145000.0,False,False,True,False,False
7.0,1999.0,1999.0,975.0,2291.0,2.0,1.0,429.0,230000.0,False,False,True,False,False
6.0,2003.0,2003.0,864.0,1728.0,2.0,0.0,673.0,207500.0,True,False,False,False,False
7.0,2006.0,2006.0,1604.0,1604.0,2.0,1.0,660.0,220000.0,False,False,True,False,False
7.0,2001.0,2001.0,963.0,1792.0,2.0,1.0,564.0,231500.0,False,False,True,False,False
5.0,1956.0,1956.0,0.0,882.0,1.0,0.0,308.0,97000.0,False,False,False,True,False
6.0,1962.0,1962.0,1362.0,1382.0,1.0,1.0,884.0,176000.0,False,False,True,False,False
8.0,2007.0,2007.0,1482.0,2574.0,2.0,1.0,868.0,276000.0,False,False,True,False,False
6.0,1977.0,1995.0,506.0,1212.0,1.0,1.0,492.0,151000.0,False,False,True,False,False
5.0,1929.0,2001.0,926.0,1316.0,1.0,0.0,484.0,130000.0,False,False,False,True,False
5.0,1925.0,2004.0,680.0,764.0,1.0,0.0,504.0,73000.0,False,False,False,True,False
6.0,1981.0,1981.0,1422.0,1422.0,2.0,1.0,576.0,175500.0,False,False,True,False,False
6.0,1997.0,1997.0,802.0,1511.0,2.0,1.0,413.0,185000.0,False,False,True,False,False
5.0,1939.0,1997.0,720.0,2192.0,2.0,1.0,240.0,179500.0,False,False,True,False,False
5.0,1940.0,1955.0,740.0,778.0,1.0,1.0,924.0,120500.0,False,False,False,True,False
6.0,1976.0,1976.0,1143.0,1113.0,1.0,1.0,504.0,148000.0,False,False,True,False,False
8.0,2006.0,2006.0,1095.0,1939.0,2.0,1.0,1053.0,266000.0,True,False,False,False,False
7.0,1954.0,2005.0,1385.0,1363.0,1.0,2.0,439.0,241500.0,False,False,True,False,False
8.0,1999.0,2007.0,1152.0,2270.0,2.0,1.0,671.0,290000.0,False,False,True,False,False
